# Copyright (C) 1991-2010 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 10.0 Build 262 08/18/2010 Service Pack 1 SJ Web Edition
# File: C:/Users/gopi/Desktop/Tajana/TA FA 10/Lab-4/up3_cpu/tinycpu/HamblenCh9/DE2_TOP.csv
# Generated on: Wed Nov 17 10:48:45 2010

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved
AUD_ADCDAT,Input,PIN_B5,3,B3_N1,,
AUD_ADCLRCK,Bidir,PIN_C5,3,B3_N1,,
AUD_BCLK,Bidir,PIN_B4,3,B3_N1,,
AUD_DACDAT,Output,PIN_A4,3,B3_N1,,
AUD_DACLRCK,Bidir,PIN_C6,3,B3_N1,,
AUD_XCK,Output,PIN_A5,3,B3_N1,,
CLOCK_27,Input,PIN_D13,3,B3_N0,,
CLOCK_50,Input,PIN_N2,2,B2_N1,,
DRAM_ADDR[11],Output,PIN_V5,1,B1_N1,,
DRAM_ADDR[10],Output,PIN_Y1,1,B1_N1,,
DRAM_ADDR[9],Output,PIN_W3,1,B1_N1,,
DRAM_ADDR[8],Output,PIN_W4,1,B1_N1,,
DRAM_ADDR[7],Output,PIN_U5,1,B1_N1,,
DRAM_ADDR[6],Output,PIN_U7,1,B1_N1,,
DRAM_ADDR[5],Output,PIN_U6,1,B1_N1,,
DRAM_ADDR[4],Output,PIN_W1,1,B1_N0,,
DRAM_ADDR[3],Output,PIN_W2,1,B1_N0,,
DRAM_ADDR[2],Output,PIN_V3,1,B1_N0,,
DRAM_ADDR[1],Output,PIN_V4,1,B1_N0,,
DRAM_ADDR[0],Output,PIN_T6,1,B1_N0,,
DRAM_BA_0,Output,PIN_AE2,1,B1_N1,,
DRAM_BA_1,Output,PIN_AE3,1,B1_N1,,
DRAM_CAS_N,Output,PIN_AB3,1,B1_N1,,
DRAM_CKE,Output,PIN_AA6,1,B1_N1,,
DRAM_CLK,Output,PIN_AA7,1,B1_N1,,
DRAM_CS_N,Output,PIN_AC3,1,B1_N1,,
DRAM_DQ[15],Bidir,PIN_AA5,1,B1_N1,,
DRAM_DQ[14],Bidir,PIN_AC1,1,B1_N1,,
DRAM_DQ[13],Bidir,PIN_AC2,1,B1_N1,,
DRAM_DQ[12],Bidir,PIN_AA3,1,B1_N1,,
DRAM_DQ[11],Bidir,PIN_AA4,1,B1_N1,,
DRAM_DQ[10],Bidir,PIN_AB1,1,B1_N1,,
DRAM_DQ[9],Bidir,PIN_AB2,1,B1_N1,,
